id;start_date;end_date;language
1;2019-12-23T16:05:22;2019-12-23T13:55:37;SPANISH
2;2019-12-22T20:55:33;2019-12-23T15:59:58;SPANISH
3;2019-12-23T11:50:52;2019-12-22T22:25:01;FRENCH
4;2019-12-23T03:08:23;2019-12-23T14:39:49;FRENCH
5;2019-12-23T12:38:41;2019-12-23T17:25:40;FRENCH
6;2019-12-23T06:31:02;2019-12-23T18:39:16;FRENCH
7;2019-12-23T08:16:22;2019-12-23T02:07:13;FRENCH
8;2019-12-23T07:12:35;2019-12-23T17:28:43;SPANISH
9;2019-12-23T05:53:44;2019-12-23T02:35:07;SPANISH
10;2019-12-23T14:05:48;2019-12-23T00:40:18;SPANISH
